,0,ambientRaw,ambientTemp,descriptor,epoch,objectRaw,objectTemp,timestamp
782,295.4277038574219,,,,,,,
783,1664398296.0684118,,,,,,,
784,3.0,,,,,,,
785,546149.0,,,,,,,
786,12750.0,,,,,,,
787,65092.0,,,,,,,
788,295.0627746582031,,,,,,,
789,296.7675476074219,,,,,,,
790,1664398296.0744908,,,,,,,
791,4.0,,,,,,,
792,546150.0,,,,,,,
793,12806.0,,,,,,,
794,65075.0,,,,,,,
795,295.2662658691406,,,,,,,
796,296.5865478515625,,,,,,,
797,1664398296.0779421,,,,,,,
798,5.0,,,,,,,
799,546151.0,,,,,,,
800,13282.0,,,,,,,
801,65060.0,,,,,,,
802,294.6441650390625,,,,,,,
803,296.3102111816406,,,,,,,
804,1664398296.0810611,,,,,,,
805,1.0,,,,,,,
806,547146.0,,,,,,,
807,13085.0,,,,,,,
808,64499.0,,,,,,,
809,294.9697570800781,,,,,,,
810,295.00299072265625,,,,,,,
811,1664398297.040813,,,,,,,
812,2.0,,,,,,,
813,547147.0,,,,,,,
814,13498.0,,,,,,,
815,64484.0,,,,,,,
816,295.29534912109375,,,,,,,
817,295.40496826171875,,,,,,,
818,1664398297.0599859,,,,,,,
819,3.0,,,,,,,
820,547149.0,,,,,,,
821,12750.0,,,,,,,
822,65105.0,,,,,,,
823,295.0627746582031,,,,,,,
824,296.80194091796875,,,,,,,
825,1664398297.066648,,,,,,,
826,4.0,,,,,,,
827,547150.0,,,,,,,
828,12807.0,,,,,,,
829,65090.0,,,,,,,
830,295.2720947265625,,,,,,,
831,296.634521484375,,,,,,,
832,1664398297.0701702,,,,,,,
833,5.0,,,,,,,
834,547152.0,,,,,,,
835,13279.0,,,,,,,
836,65064.0,,,,,,,
837,294.6267395019531,,,,,,,
838,296.30462646484375,,,,,,,
839,1664398297.0734851,,,,,,,
840,1.0,,,,,,,
841,548146.0,,,,,,,
842,13087.0,,,,,,,
843,64496.0,,,,,,,
844,294.98138427734375,,,,,,,
845,295.0069580078125,,,,,,,
846,1664398298.045702,,,,,,,
847,2.0,,,,,,,
848,548147.0,,,,,,,
849,13500.0,,,,,,,
850,64485.0,,,,,,,
851,295.3069763183594,,,,,,,
852,295.41925048828125,,,,,,,
853,1664398298.06593,,,,,,,
854,3.0,,,,,,,
855,548149.0,,,,,,,
856,12750.0,,,,,,,
857,65084.0,,,,,,,
858,295.0627746582031,,,,,,,
859,296.7463684082031,,,,,,,
860,1664398298.073382,,,,,,,
861,4.0,,,,,,,
862,548150.0,,,,,,,
863,12810.0,,,,,,,
864,65067.0,,,,,,,
865,295.2895202636719,,,,,,,
866,296.5870056152344,,,,,,,
867,1664398298.077006,,,,,,,
868,5.0,,,,,,,
869,548151.0,,,,,,,
870,13282.0,,,,,,,
871,65047.0,,,,,,,
872,294.6441650390625,,,,,,,
873,296.2725524902344,,,,,,,
874,1664398298.0804212,,,,,,,
875,1.0,,,,,,,
876,549146.0,,,,,,,
877,13083.0,,,,,,,
878,64500.0,,,,,,,
879,294.9581298828125,,,,,,,
880,294.993896484375,,,,,,,
881,1664398299.050874,,,,,,,
882,2.0,,,,,,,
883,549147.0,,,,,,,
884,13500.0,,,,,,,
885,64483.0,,,,,,,
886,295.3069763183594,,,,,,,
887,295.4139099121094,,,,,,,
888,1664398299.072596,,,,,,,
889,3.0,,,,,,,
890,549149.0,,,,,,,
891,12750.0,,,,,,,
892,65079.0,,,,,,,
893,295.0627746582031,,,,,,,
894,296.733154296875,,,,,,,
895,1664398299.077779,,,,,,,
896,4.0,,,,,,,
897,549150.0,,,,,,,
898,12809.0,,,,,,,
899,65057.0,,,,,,,
900,295.2837219238281,,,,,,,
901,296.5531005859375,,,,,,,
902,1664398299.081362,,,,,,,
903,5.0,,,,,,,
904,549151.0,,,,,,,
